# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
해상,Busan,북미,Savannah,2023,11,2000.0,2500.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,10,1900.0,2300.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,09,2240.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,08,2700.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,07,2200.0,2600.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,06,1650.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,05,1650.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,04,1600.0,2225.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,03,1800.0,2450.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,02,2200.0,2750.0,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2023,01,,,USD,,,,,2026-05-24
해상,Busan,북미,Savannah,2022,09,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2026,05,3300.0,4200.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2026,04,3100.0,4000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2026,03,2880.0,3600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2026,02,2100.0,2600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2026,01,3200.0,3950.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,12,2400.0,2950.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,11,3900.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,10,2100.0,2500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,09,2800.0,3500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,08,2700.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,07,4300.0,4800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,06,6000.0,7500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,05,3000.0,3400.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,04,3300.0,3800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,03,3800.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2025,01,5500.0,6100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,12,5600.0,6300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,11,4400.0,5400.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,10,4700.0,5300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,09,4500.0,5750.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,08,9050.0,10250.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,07,9380.0,10600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,06,6800.0,7850.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,05,6800.0,8600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,04,3570.0,3950.0,USD,,,,,2026-05-24
